# translation_extract.txt - user-visible Chinese in .kt / .xml / string resources
# Format: unique_id | chinese_string | file:line
# Excludes: // comment-only lines, Log/println/Timber, package/import lines.
# LocalizedStrings.kt: id is i18n_<key> (same-line zh branch or block if (zh) { multiline }).

i18n_view_metric_streak_both | 双模块连续 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:152
i18n_view_metric_total_chars | 日记总字数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:153
i18n_view_metric_max_chars | 单篇最高字数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:154
i18n_view_metric_avg_tasks | 日均任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:155
i18n_view_metric_avg_notes | 日均笔记 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:156
i18n_view_month_customize_title | 自定义本月概览 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:157
i18n_view_month_customize_subtitle | 勾选要显示的指标（可多选） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:158
i18n_view_month_customize_done | 完成 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:159
i18n_view_streak_one | 1 天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:160
i18n_view_streak_many | {n} 天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:161
i18n_widget_layout_section | 布局选择 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:162
i18n_widget_display_section | 显示内容 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:163
i18n_widget_show_tasks | 今日任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:164
i18n_widget_show_daily_quote | 每日一句 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:165
i18n_widget_background_style | 背景样式 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:166
i18n_widget_refresh_time | 刷新时间 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:167
i18n_widget_refresh_on_app_open | 每次打开app更新一次 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:168
i18n_widget_refresh_hourly | 每小时更新一次 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:169
i18n_widget_refresh_daily | 每天更新一次 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:170
i18n_widget_reset_default | 恢复默认设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:171
i18n_widget_background_soon | 背景自定义即将推出 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:172
i18n_widget_preview_area | 预览区域 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:173
i18n_widget_preview_placeholder | Widget 实时预览 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:174
i18n_widget_background_type | 背景类型 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:175
i18n_widget_bg_white | 纯白 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:176
i18n_widget_bg_solid | 纯色 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:177
i18n_widget_bg_image | 图片 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:178
i18n_widget_bg_gradient | 渐变 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:179
i18n_widget_preset_colors | 预设色板： | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:180
i18n_widget_custom_color | 自定义色值 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:181
i18n_widget_gradient_start | 起始色 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:182
i18n_widget_gradient_end | 结束色 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:183
i18n_widget_select_image | 点击选择文件 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:184
i18n_widget_blur_radius | 模糊程度 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:185
i18n_widget_alpha | 透明度 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:186
i18n_widget_gradient_type | 渐变类型 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:187
i18n_widget_linear | 线性渐变 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:188
i18n_widget_radial | 径向渐变 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:189
i18n_widget_angle | 角度 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:190
i18n_widget_apply_all_sizes | 应用到所有尺寸 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:191
i18n_widget_apply_current_size | 仅应用当前尺寸 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:192
i18n_widget_2x2_stats | 已完成%d/总%d | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:193
i18n_widget_3x1_more_tasks | 还有{n}条，在应用内查看 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:194
i18n_widget_task_list_empty | 暂无任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:195
i18n_widget_checkin_stats | 连续%d天 总计%d天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:196
i18n_widget_4b_section | 本月任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:197
i18n_widget_layout_1a | 计数类 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:198
i18n_widget_layout_1b | Todo类 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:199
i18n_widget_layout_2a | Todo展示类 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:200
i18n_widget_layout_3a | Todo展示类 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:201
i18n_widget_layout_3b | 统计类（打卡圆环） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:202
i18n_widget_layout_3c | 一周任务条 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:203
i18n_widget_layout_3d | 周任务+每日一句 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:204
i18n_widget_layout_4a | 展示今日 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:205
i18n_widget_layout_4b | 展示全部 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:206
i18n_user_nickname | 用户昵称 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:207
i18n_mine_settings | 设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:208
i18n_recorded_days | 已记录  | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:209
i18n_recorded_days_suffix |  天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:210
i18n_weekly_insights | 我的每周洞察 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:211
i18n_mine_mood_card_title | 心情与每日反思 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:212
i18n_mine_planning_heading | 我坚持规划的每一天 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:213
i18n_mine_stat_days_in_a_row | 连续天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:214
i18n_mine_stat_total_days | 本周有记录天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:215
i18n_mine_all_records_title | 我的全部记录 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:216
i18n_mine_records_completion_days | 完成日天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:217
i18n_mine_records_completed_items | 已完成项 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:218
i18n_mine_records_unfinished_today | 今日未完成 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:219
i18n_mine_metric_max_streak_record | 最高连续有记录 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:220
i18n_mine_checkin_title | 打卡统计 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:221
i18n_mine_checkin_week | 周 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:222
i18n_mine_checkin_month | 月 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:223
i18n_mine_checkin_legend | 过去：🎉完美 👏优秀 ✊加油 🌱新芽 ✏️仅随笔 ⚪空白；未来灰色：📋已安排 · 无安排。 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:225
i18n_mine_all_records_open_full | 查看全部记录 → | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:229
i18n_mine_all_records_customize_link | 自定义指标 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:230
i18n_mine_all_records_tab_calendar | 打卡日历 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:231
i18n_mine_all_records_tab_stats | 数据统计 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:232
i18n_mine_all_records_customize_metrics | 自定义指标 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:233
i18n_mine_all_records_future_no_tasks | 这天还没有安排 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:234
i18n_mine_all_records_future_tasks_preview | 当日任务预览 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:235
i18n_mine_all_records_add_task_shortcut | 添加任务（今日页） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:236
i18n_mine_all_records_day_tasks_line | 任务完成 {done}/{total} | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:237
i18n_mine_all_records_day_notes_line | 随笔 {n} 篇 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:238
i18n_mine_records_shown_heading | 已显示（↑↓ 排序） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:239
i18n_mine_records_shown_max_hint | 最多选择 8 个指标 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:240
i18n_mine_records_pool_heading | 可选指标 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:241
i18n_mine_records_remove_metric | 移除 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:242
i18n_mine_metric_current_streak_record | 当前连续天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:243
i18n_mine_metric_longest_has_record | 连续有记录天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:244
i18n_mine_metric_longest_all_done | 连续全勤天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:245
i18n_mine_metric_longest_both | 连续双修天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:246
i18n_mine_metric_peak_continuity | 最高连续天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:247
i18n_mine_metric_month_active_days | 当月活跃天数 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:248
i18n_mine_records_customize_title | 自定义统计与预览 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:249
i18n_mine_records_scope_heading | 统计范围 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:250
i18n_mine_records_scope_year | 本年度 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:251
i18n_mine_records_scope_all | 自首次记录以来 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:252
i18n_mine_records_year_heading | 年份 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:253
i18n_mine_records_metrics_heading | 显示的指标（可多选） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:254
